Աղջիկ,Լոռի,Ստեփանավան,15-18,Արկածային,,,,,,,,,,,,,,,,731 օր քեզ համար,"Աղջիկ ջան,մի արդարացիր",Աղջիկ ջան ուշքի արի,,,,,,,,Ռոբինզոն Կրուզո,Օլիվեր Թվիստի արկածները,,,,,,,,,Պարույր Սևակ,Վահան Տերյան,Դավիթ Սամվելյան,,,,,,,
Աղջիկ,Սյունիք,Սիսիան,15-18,Արկածային,,,,,,,,,,,,,,,,Լրտեսը,Սևանի ափին,Փոքրիկ իշխանը,Ռոբին Հուդը,Թոմ Սոյերի արկածները,Երեք հաստլիկները,Սամվելը,Խենթը,Օգոստոս,Հարի Փոթեր,Չգտնված երիցուկներ,Թքած ունենալու նուրբ արվեստը,Ճամպրուկի մեջ գտնված ձեռագիրըգտնված,Երեք ընկեր,Մեծապատիվ մուրացկաններ,Ստվերների գողը,Դրախտի դռների մոտ,Խատուտիկի գինի,"Ատլաս,որը կազմել է երկինքը",Երեքը նավակում՝ չհաշված շանը,Րաֆֆի,Մարկ Տվեն,Ջեյմս Ֆենիմոր Կուպեր,Պարույր Սևակ,Ակսել Բակունց,Յուրի Օլեշա,Անտուան դը Սենտ Էքզյուպերի,Ջոն Սթեյնբեք,Հովհաննես Թումանյան,Հրանտ Մաթևոսյան
Աղջիկ,Կոտայք,,15-18,,,,,Դետեկտիվ.,Դրամա,,,Ֆանտաստիկա,Սարսափ,,,,,Երկխոսություն,,Աստղերն են մեղավոր,Սիրո 5 լեզուները,Բռնիր ձեռքս ես վախենում եմ,Քաոս ,Վերջին ուսուցիչը,Պուտավոր զգեստով աղջիկը#Փարիզում,Պատվի համար,,,,Մանոն Լեսկոն,Աննա Կարենինա ,Աղջիկ ջան մի արդարացի,,,,,,,,Չկա )),,,,,,,,,
Աղջիկ,Շիրակ,Գյումրի,15-18,Արկածային,,Դասական,,,,,,,,,Ռոմանս,,,,Հիմնականում սիրում եմ ժամանակակից գրականություն,Աստղերն են մեղավոր,Թղթե քաղաքներ,Ջեյն Էյր,Ասկանիո,Гранатовый браслет,Ինձ բահ տվեք,Քաոս,50 дней до моего самоубийства,,,Ալքիմիկոս ,Ռոդենի ձմեռը,Կոմս Մոնտե Քրիստո,Այրվող այգիներ,,,,,,,Ջոն Գրին,,,,,,,,,
Աղջիկ,Երևան,,15-18,Արկածային,,,,Դետեկտիվ.,Դրամա,,,Ֆանտաստիկա,Սարսափ,,,,Թրիլլեր,,,Ջոն Բոյն-Զոլավոր գիշերազգեստով տղան,Ծաղիկներ Էլջերնոնի համար,Ստեֆան Ցվայգ- Անծանոթուհու նամակը,ԴորիանԳրեիյի դիմանկարը,Ժյուլ Վեռն- Աշխարհի շուրջը 80 օրում,Ջոնաթան Լիվինգսթոն ճայը,,,,,Ալքիմիկոսը-Պաոլո Կոելյո,Սելինջեր-փրկիչը տարեկանի արտում,Մարկ Լևի-Պարոն Դալդրիի տարօրինակ ճանապարհորդությունը,Մտածել ինչպես Շերլոքը,Ստամբուլի բիճը,Խալեդ Հոսեյն-և արձագանքեցին լեռները,Ռեյ Բրեդբրի-451 ֆարենհայթ,Կարմրահեր կինը,Խատուտիկի գինի,,Աստրիդ Լինդգրեն,Պաոլո Կոելյո,Ժյուլ Վեռն ,Ռեյ Բրեդբրի,,,,,,
Աղջիկ,Սյունիք,Սիսիան,12-14,Արկածային,,,,,Դրամա,,,,,,Ռոմանս,Կենսագրություն,,,,Ջեյն Էյր,Ռոդենի ձմեռը,Քո մասին են պատմում ալիքները,Աստղերն են մեղավոր,Թոմ Սոյերի արկածները,Սպիտակ ժանիքը,731 օր քեզ համար,Այլ հարցեր չկան,"Այնտեղ ,ուր գնաց",Ես և նա,"Սյունե Սևադա ""Կախվածություն""","Ջոջո Մոյես ""Ես մինչ քեզ""","Էրիխ Մարիա Ռեմարկ""Ապրելու ժամանակը և մեռնելու ժամանակը"" ",,,,,,,,Ջեք Լոնդոն,Պ.Սևակ,Վարդգես Պետրոսյան,Ռեյչլ Հոլիս,Վահան Տերյան,Ավետիք Իսահակյան,Համո Սահյան,Եղիշե Չարենց,Շառլոթ Բրոնտե,
Աղջիկ,Լոռի,,19-22,,,,,Դետեկտիվ.,Դրամա,,,,,,,,,Երկխոսություն,,Ստամբուլի բիճը,Անասնաֆերմա,451° ըստ Ֆարենհայթի,Ուր է իմ պանիրը,11 րոպե,Բոռ,Ջինսի սերունդ,Բռնիր ձեռքս ես վախենում եմ ,"Կուկու, Որբանոց",Ծիտ,1982,Նախաճաշ Թիֆանիյի մոտ ,Ես մինչև քեզ ,,,,,,,,Ջորջ Օրուել,Արամ Պաչյան,Էլիֆ Շաֆաք,,,,,,,
Աղջիկ,Լոռի,,15-18,,,,,,,,,,,,Ռոմանս,,,,,Հաերուր տավա մենություն,,,,,,,,,,Աստղերն են մեղավոր,,,,,,,,,,Գարսիա Մարկես,,,,,,,,,
Աղջիկ,Սյունիք,Սիսիան,15-18,,,Դասական,,,,,,,,,,,,,,Թքած ունենալու նուրբ արվեստը,375 օր քեզ համար,Քո մասին են պատմում ալիքները,,,,,,,,Քո մասին են պատմում ալիքները,Սիրելու արվեստը,,,,,,,,,Պարույր Սևակ,Համո  Սահյան,,,,,,,,
Աղջիկ,Սյունիք,Քաղաք Սիսիան,12-14,Արկածային,,Դասական,,,Դրամա,,,Ֆանտաստիկա,,,Ռոմանս,Կենսագրություն,Թրիլլեր,,,«Սպիտակ ժանիքը»,«Պոլիանա»,«Թոմ Սոյերի արկածները»,"«Աղջիկ ջան, ուշքի արի»",«Աստղերն են մեղավոր»,«Ջեյն Էյր»,«Ռոմեո և Ջուլիետ»,«Ես և նա»,«Բոռ»,«Կոմս Մոնտե Քրիստո»,Սյունե Սևադա «Կախվածություն»,Ուիլյամ Շեքսպիր «Մակբեթ»,Ալեքսանդր Դյումա «Մարգո թագուհին»,Յոհան Վոլֆգանգ Գյոթե«Երիտասարդ Վերթերի տառապանքները»,,,,,,,Ալեքսանդր Դյումա,Ռեյչլ Հոլիս,Ջեք Լոնդոն,Մարկ Տվեն,Վահան Տերյան,Պարույր Սևակ,Ուիլյամ Շեքսպիր,Համո Սահյան,Ավետիք Իսահակյան,Էլինոր Փորթեր
